                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1543,                 2.8316,                 1.2926,                0.53299,                0.22907,                0.31473,                0.22202,                0.99316,                 2.5753,                 1.1109,             0.00041441,             0.00041441,             0.00041441
                      2,                 1.1889,                  2.009,                 1.3117,                0.42991,                0.54787,                0.47378,                0.27261,                 1.2689,                  2.108,                 1.3426,             0.00078746,             0.00078746,             0.00078746
                      3,                 1.2313,                 1.7439,                 1.3336,                0.58591,                0.54538,                0.60793,                0.40222,                 1.0497,                 1.8923,                 1.2411,              0.0011039,              0.0011039,              0.0011039
                      4,                 1.2268,                 1.7043,                 1.3628,                0.60727,                0.51305,                0.54477,                0.37002,                 1.1234,                 1.6917,                 1.2612,              0.0011461,              0.0011461,              0.0011461
                      5,                 1.2025,                 1.6099,                 1.3314,                0.37363,                0.44925,                0.36956,                0.26095,                 1.1607,                 2.1197,                 1.3174,              0.0011461,              0.0011461,              0.0011461
                      6,                 1.1912,                 1.7723,                 1.2827,                0.65801,                0.50388,                0.57161,                0.36685,                 1.1646,                  1.708,                  1.298,              0.0010517,              0.0010517,              0.0010517
                      7,                 1.0779,                 1.5407,                 1.2394,                0.62157,                0.44139,                0.55897,                0.34944,                 1.1208,                  1.642,                 1.3074,             0.00095743,             0.00095743,             0.00095743
                      8,                 1.1393,                 1.5562,                 1.2619,                0.69754,                0.52216,                0.65721,                0.44747,                 1.0537,                 1.5062,                 1.2812,             0.00086312,             0.00086312,             0.00086312
                      9,                 1.0778,                 1.4794,                 1.2296,                0.79649,                0.54507,                0.66415,                0.44887,                 1.0916,                  1.567,                 1.2765,              0.0007688,              0.0007688,              0.0007688
                     10,                 1.0691,                  1.383,                 1.2131,                0.67089,                0.60271,                0.65084,                0.42415,                 1.0591,                 1.5886,                 1.2561,             0.00067449,             0.00067449,             0.00067449
                     11,                 0.9946,                 1.2892,                 1.1759,                0.79098,                0.57986,                0.67369,                0.48552,                0.98746,                 1.4948,                 1.2292,             0.00058017,             0.00058017,             0.00058017
                     12,                0.98706,                 1.2971,                 1.1821,                0.73808,                0.58768,                0.66725,                0.48049,                0.98871,                 1.4798,                 1.2109,             0.00048586,             0.00048586,             0.00048586
                     13,                0.95132,                 1.2052,                 1.1559,                0.77115,                0.57713,                0.73134,                0.51378,                0.98681,                 1.3105,                  1.179,             0.00039155,             0.00039155,             0.00039155
                     14,                0.89212,                 1.1057,                 1.1141,                0.85782,                0.60362,                0.78185,                0.57718,                0.86585,                 1.1523,                 1.1172,             0.00029723,             0.00029723,             0.00029723
                     15,                0.84771,                 1.0254,                 1.1047,                0.75798,                 0.6712,                0.77233,                  0.593,                0.82587,                 1.1651,                 1.0886,             0.00020292,             0.00020292,             0.00020292
